ZIP,household_count,City/Town,County,Population
98364,0,Port Gamble,Kitsap County,57
98365,3164,Port Ludlow,Jefferson County,5259
98366,15391,Port Orchard,Kitsap County,37437
98367,12918,Port Orchard,Kitsap County,31186
98368,9739,Port Townsend,Jefferson County,17046
98370,13849,Poulsbo,Kitsap County,32862
98371,9937,Puyallup,Pierce County,22983
98372,10701,Puyallup,Pierce County,26470
98373,11113,Puyallup,Pierce County,30096
98374,16645,Puyallup,Pierce County,45555
98375,10761,Puyallup,Pierce County,32595
98376,1314,Quilcene,Jefferson County,2109
98377,1346,Randle,Lewis County,2392
98380,2123,Seabeck,Kitsap County,5582
98381,163,Sekiu,Clallam County,282
98382,15739,Sequim,Clallam County,30777
98383,9660,Silverdale,Kitsap County,22764
98385,209,South Prairie,Pierce County,464
98387,17151,Spanaway,Pierce County,51384
98388,2846,Steilacoom,Pierce County,7051
98390,4836,Sumner,Pierce County,11482
98391,20573,Bonney Lake,Pierce County,56646
98392,1497,Suquamish,Kitsap County,3203
98394,578,Vaughn,Pierce County,1244
98396,330,Wilkeson,Pierce County,643
98402,4788,Tacoma,Pierce County,7088
98403,4863,Tacoma,Pierce County,8613
98404,13174,Tacoma,Pierce County,36025
98405,11645,Tacoma,Pierce County,24264
98406,10748,Tacoma,Pierce County,22994
98407,10545,Tacoma,Pierce County,21050
98408,8418,Tacoma,Pierce County,21438
98409,12136,Tacoma,Pierce County,28645
98416,0,Tacoma,Pierce County,830
98418,4520,Tacoma,Pierce County,10082
98421,78,Tacoma,Pierce County,790
98422,8321,Tacoma,Pierce County,22066
98424,4558,Fife,Pierce County,12026
98430,0,Camp Murray,Pierce County,580
98433,4889,Tacoma,Pierce County,20342
98438,25,Mcchord Afb,Pierce County,560
98439,2311,Lakewood,Pierce County,5679
98443,2294,Tacoma,Pierce County,5899
98444,13762,Tacoma,Pierce County,35366
98445,12546,Tacoma,Pierce County,33252
98446,5447,Tacoma,Pierce County,13821
98447,0,Tacoma,Pierce County,1067
98465,3771,Tacoma,Pierce County,7528
98466,12773,Tacoma,Pierce County,30405
98467,6718,University Place,Pierce County,15140
98498,12842,Lakewood,Pierce County,28256
98499,14683,Lakewood,Pierce County,34207
98501,19969,Olympia,Thurston County,46796
98502,15550,Olympia,Thurston County,35551
98503,18375,Lacey,Thurston County,42263
98505,0,Olympia,Thurston County,403
98506,9041,Olympia,Thurston County,18968
98512,13216,Olympia,Thurston County,30784
98513,14533,Olympia,Thurston County,36988
98516,11600,Olympia,Thurston County,27212
98520,9333,Aberdeen,Grays Harbor County,24989
98524,2154,Allyn,Mason County,4226
98526,144,Amanda Park,Grays Harbor County,175
