ZIP,Household Count,City/Town,County,Population,,,,,,,
92707,"59,712",Santa Ana,Orange County,"59,712",,,,,,,
93312,"59,616",Bakersfield,Kern County,"59,616",,,,,,,
94122,"59,453",San Francisco,San Francisco County,"59,453",,,,,,,
95670,"59,449",Rancho Cordova,Sacramento County,"59,449",,,,,,,
90019,"59,410",Los Angeles,Los Angeles County,"59,410",,,,,,,
91770,"59,410",Rosemead,Los Angeles County,"59,410",,,,,,,
92618,"59,386",Irvine,Orange County,"59,386",,,,,,,
90042,"59,151",Los Angeles,Los Angeles County,"59,151",,,,,,,
94591,"59,026",Vallejo,Solano County,"59,026",,,,,,,
94087,"58,913",Sunnyvale,Santa Clara County,"58,913",,,,,,,
91732,"58,888",El Monte,Los Angeles County,"58,888",,,,,,,
90004,"58,833",Los Angeles,Los Angeles County,"58,833",,,,,,,
95112,"58,775",San Jose,Santa Clara County,"58,775",,,,,,,
90745,"58,735",Carson,Los Angeles County,"58,735",,,,,,,
93030,"58,511",Oxnard,Ventura County,"58,511",,,,,,,
92570,"58,275",Perris,Riverside County,"58,275",,,,,,,
92530,"58,249",Lake Elsinore,Riverside County,"58,249",,,,,,,
92057,"58,022",Oceanside,San Diego County,"58,022",,,,,,,
91950,"57,844",National City,San Diego County,"57,844",,,,,,,
90001,"57,652",Los Angeles,Los Angeles County,"57,652",,,,,,,
92504,"57,636",Riverside,Riverside County,"57,636",,,,,,,
92324,"57,593",Colton,San Bernardino County,"57,593",,,,,,,
95023,"57,367",Hollister,San Benito County,"57,367",,,,,,,
92130,"57,363",San Diego,San Diego County,"57,363",,,,,,,
93063,"57,075",Simi Valley,Ventura County,"57,075",,,,,,,
92708,"56,754",Fountain Valley,Orange County,"56,754",,,,,,,
90006,"56,628",Los Angeles,Los Angeles County,"56,628",,,,,,,
94109,"56,333",San Francisco,San Francisco County,"56,333",,,,,,,
91913,"56,102",Chula Vista,San Diego County,"56,102",,,,,,,
92646,"56,033",Huntington Beach,Orange County,"56,033",,,,,,,
91786,"56,025",Upland,San Bernardino County,"56,025",,,,,,,
92027,"55,750",Escondido,San Diego County,"55,750",,,,,,,
93436,"55,591",Lompoc,Santa Barbara County,"55,591",,,,,,,
91745,"55,489",Hacienda Heights,Los Angeles County,"55,489",,,,,,,
91405,"55,451",Van Nuys,Los Angeles County,"55,451",,,,,,,
95350,"55,368",Modesto,Stanislaus County,"55,368",,,,,,,
95648,"55,350",Lincoln,Placer County,"55,350",,,,,,,
91764,"55,311",Ontario,San Bernardino County,"55,311",,,,,,,
92399,"55,236",Yucaipa,San Bernardino County,"55,236",,,,,,,
93308,"55,150",Bakersfield,Kern County,"55,150",,,,,,,
90034,"55,061",Los Angeles,Los Angeles County,"55,061",,,,,,,
95376,"55,038",Tracy,San Joaquin County,"55,038",,,,,,,
92780,"54,945",Tustin,Orange County,"54,945",,,,,,,
92557,"54,936",Moreno Valley,Riverside County,"54,936",,,,,,,
92584,"54,663",Menifee,Riverside County,"54,663",,,,,,,
92117,"54,499",San Diego,San Diego County,"54,499",,,,,,,
93551,"54,478",Palmdale,Los Angeles County,"54,478",,,,,,,
91304,"54,369",Canoga Park,Los Angeles County,"54,369",,,,,,,
90744,"54,277",Wilmington,Los Angeles County,"54,277",,,,,,,
92056,"54,190",Oceanside,San Diego County,"54,190",,,,,,,
90066,"54,142",Los Angeles,Los Angeles County,"54,142",,,,,,,
93277,"54,127",Visalia,Tulare County,"54,127",,,,,,,
91344,"53,862",Granada Hills,Los Angeles County,"53,862",,,,,,,
92840,"53,826",Garden Grove,Orange County,"53,826",,,,,,,
90813,"53,647",Long Beach,Los Angeles County,"53,647",,,,,,,
94539,"53,464",Fremont,Alameda County,"53,464",,,,,,,
93117,"53,345",Goleta,Santa Barbara County,"53,345",,,,,,,
93215,"53,334",Delano,Kern County,"53,334",,,,,,,
95125,"53,333",San Jose,Santa Clara County,"53,333",,,,,,,
91801,"53,320",Alhambra,Los Angeles County,"53,320",,,,,,,
90723,"53,286",Paramount,Los Angeles County,"53,286",,,,,,,
93003,"53,283",Ventura,Ventura County,"53,283",,,,,,,
91406,"53,276",Van Nuys,Los Angeles County,"53,276",,,,,,,
95757,"53,232",Elk Grove,Sacramento County,"53,232",,,,,,,
92870,"53,150",Placentia,Orange County,"53,150",,,,,,,
92656,"53,143",Aliso Viejo,Orange County,"53,143",,,,,,,
90002,"53,108",Los Angeles,Los Angeles County,"53,108",,,,,,,
92026,"53,053",Escondido,San Diego County,"53,053",,,,,,,
92078,"53,019",San Marcos,San Diego County,"53,019",,,,,,,
95207,"52,877",Stockton,San Joaquin County,"52,877",,,,,,,
92833,"52,799",Fullerton,Orange County,"52,799",,,,,,,
92505,"52,696",Riverside,Riverside County,"52,696",,,,,,,
95122,"52,555",San Jose,Santa Clara County,"52,555",,,,,,,
92129,"52,495",San Diego,San Diego County,"52,495",,,,,,,
90047,"52,200",Los Angeles,Los Angeles County,"52,200",,,,,,,
90221,"52,119",Compton,Los Angeles County,"52,119",,,,,,,
94601,"52,102",Oakland,Alameda County,"52,102",,,,,,,
95616,"52,090",Davis,Yolo County,"52,090",,,,,,,
90063,"52,008",Los Angeles,Los Angeles County,"52,008",,,,,,,
92234,"51,964",Cathedral City,Riverside County,"51,964",,,,,,,
95037,"51,867",Morgan Hill,Santa Clara County,"51,867",,,,,,,
95124,"51,803",San Jose,Santa Clara County,"51,803",,,,,,,
93638,"51,724",Madera,Madera County,"51,724",,,,,,,
91605,"51,654",North Hollywood,Los Angeles County,"51,654",,,,,,,
92544,"51,567",Hemet,Riverside County,"51,567",,,,,,,
92028,"51,135",Fallbrook,San Diego County,"51,135",,,,,,,
92127,"51,107",San Diego,San Diego County,"51,107",,,,,,,
92113,"50,983",San Diego,San Diego County,"50,983",,,,,,,
93619,"50,848",Clovis,Fresno County,"50,848",,,,,,,
91767,"50,715",Pomona,Los Angeles County,"50,715",,,,,,,
93311,"50,535",Bakersfield,Kern County,"50,535",,,,,,,
92886,"50,437",Yorba Linda,Orange County,"50,437",,,,,,,
95116,"50,436",San Jose,Santa Clara County,"50,436",,,,,,,
90024,"50,392",Los Angeles,Los Angeles County,"50,392",,,,,,,
92025,"50,270",Escondido,San Diego County,"50,270",,,,,,,
95240,"50,245",Lodi,San Joaquin County,"50,245",,,,,,,
92024,"50,222",Encinitas,San Diego County,"50,222",,,,,,,
92626,"50,198",Costa Mesa,Orange County,"50,198",,,,,,,
90630,"50,170",Cypress,Orange County,"50,170",,,,,,,
93304,"50,158",Bakersfield,Kern County,"50,158",,,,,,,
92084,"49,971",Vista,San Diego County,"49,971",,,,,,,
90018,"49,898",Los Angeles,Los Angeles County,"49,898",,,,,,,
94550,"49,463",Livermore,Alameda County,"49,463",,,,,,,
92701,"49,462",Santa Ana,Orange County,"49,462",,,,,,,
