ZIP,Household Count,City/Town,County,Population,,,,,,,
92508,"36,500",Riverside,Riverside County,"36,500",,,,,,,
92831,"36,470",Fullerton,Orange County,"36,470",,,,,,,
92869,"36,429",Orange,Orange County,"36,429",,,,,,,
91001,"36,420",Altadena,Los Angeles County,"36,420",,,,,,,
94404,"36,397",San Mateo,San Mateo County,"36,397",,,,,,,
95476,"36,386",Sonoma,Sonoma County,"36,386",,,,,,,
95062,"36,369",Santa Cruz,Santa Cruz County,"36,369",,,,,,,
90277,"36,339",Redondo Beach,Los Angeles County,"36,339",,,,,,,
92551,"36,326",Moreno Valley,Riverside County,"36,326",,,,,,,
90810,"36,306",Long Beach,Los Angeles County,"36,306",,,,,,,
90505,"36,214",Torrance,Los Angeles County,"36,214",,,,,,,
90621,"36,151",Buena Park,Orange County,"36,151",,,,,,,
93012,"36,145",Camarillo,Ventura County,"36,145",,,,,,,
95901,"36,119",Marysville,Yuba County,"36,119",,,,,,,
92807,"36,117",Anaheim,Orange County,"36,117",,,,,,,
95667,"36,084",Placerville,El Dorado County,"36,084",,,,,,,
93657,"36,053",Sanger,Fresno County,"36,053",,,,,,,
95820,"36,024",Sacramento,Sacramento County,"36,024",,,,,,,
92660,"35,926",Newport Beach,Orange County,"35,926",,,,,,,
91104,"35,918",Pasadena,Los Angeles County,"35,918",,,,,,,
95348,"35,853",Merced,Merced County,"35,853",,,,,,,
90049,"35,819",Los Angeles,Los Angeles County,"35,819",,,,,,,
91205,"35,755",Glendale,Los Angeles County,"35,755",,,,,,,
92596,"35,726",Winchester,Riverside County,"35,726",,,,,,,
94040,"35,667",Mountain View,Santa Clara County,"35,667",,,,,,,
91601,"35,615",North Hollywood,Los Angeles County,"35,615",,,,,,,
91915,"35,608",Chula Vista,San Diego County,"35,608",,,,,,,
91780,"35,556",Temple City,Los Angeles County,"35,556",,,,,,,
91325,"35,537",Northridge,Los Angeles County,"35,537",,,,,,,
95660,"35,458",North Highlands,Sacramento County,"35,458",,,,,,,
91768,"35,443",Pomona,Los Angeles County,"35,443",,,,,,,
94401,"35,392",San Mateo,San Mateo County,"35,392",,,,,,,
92131,"35,227",San Diego,San Diego County,"35,227",,,,,,,
92649,"35,206",Huntington Beach,Orange County,"35,206",,,,,,,
94588,"35,162",Pleasanton,Alameda County,"35,162",,,,,,,
90266,"35,123",Manhattan Beach,Los Angeles County,"35,123",,,,,,,
95361,"35,107",Oakdale,Stanislaus County,"35,107",,,,,,,
92675,"35,099",San Juan Capistrano,Orange County,"35,099",,,,,,,
92694,"35,074",Ladera Ranch,Orange County,"35,074",,,,,,,
95377,"35,001",Tracy,San Joaquin County,"35,001",,,,,,,
94523,"34,964",Pleasant Hill,Contra Costa County,"34,964",,,,,,,
92139,"34,930",San Diego,San Diego County,"34,930",,,,,,,
94621,"34,911",Oakland,Alameda County,"34,911",,,,,,,
95834,"34,892",Sacramento,Sacramento County,"34,892",,,,,,,
92612,"34,868",Irvine,Orange County,"34,868",,,,,,,
91340,"34,822",San Fernando,Los Angeles County,"34,822",,,,,,,
94063,"34,807",Redwood City,San Mateo County,"34,807",,,,,,,
95842,"34,775",Sacramento,Sacramento County,"34,775",,,,,,,
96001,"34,721",Redding,Shasta County,"34,721",,,,,,,
92595,"34,698",Wildomar,Riverside County,"34,698",,,,,,,
90029,"34,649",Los Angeles,Los Angeles County,"34,649",,,,,,,
96002,"34,634",Redding,Shasta County,"34,634",,,,,,,
95341,"34,541",Merced,Merced County,"34,541",,,,,,,
91722,"34,470",Covina,Los Angeles County,"34,470",,,,,,,
93060,"34,337",Santa Paula,Ventura County,"34,337",,,,,,,
91321,"34,305",Newhall,Los Angeles County,"34,305",,,,,,,
92103,"34,296",San Diego,San Diego County,"34,296",,,,,,,
92311,"34,226",Barstow,San Bernardino County,"34,226",,,,,,,
92841,"34,188",Garden Grove,Orange County,"34,188",,,,,,,
95482,"34,183",Ukiah,Mendocino County,"34,183",,,,,,,
93314,"34,156",Bakersfield,Kern County,"34,156",,,,,,,
94608,"34,083",Emeryville,Alameda County,"34,083",,,,,,,
94102,"34,077",San Francisco,San Francisco County,"34,077",,,,,,,
91773,"34,066",San Dimas,Los Angeles County,"34,066",,,,,,,
92373,"33,946",Redlands,San Bernardino County,"33,946",,,,,,,
91754,"33,937",Monterey Park,Los Angeles County,"33,937",,,,,,,
91791,"33,902",West Covina,Los Angeles County,"33,902",,,,,,,
94114,"33,858",San Francisco,San Francisco County,"33,858",,,,,,,
92583,"33,781",San Jacinto,Riverside County,"33,781",,,,,,,
93422,"33,781",Atascadero,San Luis Obispo County,"33,781",,,,,,,
94545,"33,700",Hayward,Alameda County,"33,700",,,,,,,
95128,"33,653",San Jose,Santa Clara County,"33,653",,,,,,,
91941,"33,602",La Mesa,San Diego County,"33,602",,,,,,,
92203,"33,558",Indio,Riverside County,"33,558",,,,,,,
90062,"33,528",Los Angeles,Los Angeles County,"33,528",,,,,,,
94952,"33,519",Petaluma,Marin County,"33,519",,,,,,,
93555,"33,490",Ridgecrest,Kern County,"33,490",,,,,,,
91750,"33,436",La Verne,Los Angeles County,"33,436",,,,,,,
94526,"33,396",Danville,Contra Costa County,"33,396",,,,,,,
91007,"33,367",Arcadia,Los Angeles County,"33,367",,,,,,,
94115,"33,299",San Francisco,San Francisco County,"33,299",,,,,,,
90260,"33,282",Lawndale,Los Angeles County,"33,282",,,,,,,
90807,"33,153",Long Beach,Los Angeles County,"33,153",,,,,,,
90008,"33,076",Los Angeles,Los Angeles County,"33,076",,,,,,,
91354,"33,039",Valencia,Los Angeles County,"33,039",,,,,,,
95356,"33,033",Modesto,Stanislaus County,"33,033",,,,,,,
90222,"33,021",Compton,Los Angeles County,"33,021",,,,,,,
90504,"32,965",Torrance,Los Angeles County,"32,965",,,,,,,
92123,"32,951",San Diego,San Diego County,"32,951",,,,,,,
95118,"32,827",San Jose,Santa Clara County,"32,827",,,,,,,
95661,"32,827",Roseville,Placer County,"32,827",,,,,,,
92220,"32,797",Banning,Riverside County,"32,797",,,,,,,
94801,"32,759",Richmond,Contra Costa County,"32,759",,,,,,,
93710,"32,730",Fresno,Fresno County,"32,730",,,,,,,
91351,"32,677",Canyon Country,Los Angeles County,"32,677",,,,,,,
94043,"32,670",Mountain View,Santa Clara County,"32,670",,,,,,,
95961,"32,663",Olivehurst,Yuba County,"32,663",,,,,,,
93955,"32,610",Seaside,Monterey County,"32,610",,,,,,,
93703,"32,603",Fresno,Fresno County,"32,603",,,,,,,
91107,"32,581",Pasadena,Los Angeles County,"32,581",,,,,,,
95662,"32,436",Orangevale,Sacramento County,"32,436",,,,,,,
94610,"32,404",Oakland,Alameda County,"32,404",,,,,,,
94103,"32,400",San Francisco,San Francisco County,"32,400",,,,,,,
91214,"32,344",La Crescenta,Los Angeles County,"32,344",,,,,,,
93618,"32,334",Dinuba,Tulare County,"32,334",,,,,,,
91206,"32,294",Glendale,Los Angeles County,"32,294",,,,,,,
94941,"32,190",Mill Valley,Marin County,"32,190",,,,,,,
91505,"32,156",Burbank,Los Angeles County,"32,156",,,,,,,
93420,"32,126",Arroyo Grande,San Luis Obispo County,"32,126",,,,,,,
91604,"32,073",Studio City,Los Angeles County,"32,073",,,,,,,
90230,"32,005",Culver City,Los Angeles County,"32,005",,,,,,,
91006,"31,986",Arcadia,Los Angeles County,"31,986",,,,,,,
92116,"31,836",San Diego,San Diego County,"31,836",,,,,,,
91423,"31,787",Sherman Oaks,Los Angeles County,"31,787",,,,,,,
93001,"31,751",Ventura,Ventura County,"31,751",,,,,,,
90606,"31,717",Whittier,Los Angeles County,"31,717",,,,,,,
95070,"31,688",Saratoga,Santa Clara County,"31,688",,,,,,,
90803,"31,659",Long Beach,Los Angeles County,"31,659",,,,,,,
94903,"31,582",San Rafael,Marin County,"31,582",,,,,,,
90712,"31,552",Lakewood,Los Angeles County,"31,552",,,,,,,
92405,"31,550",San Bernardino,San Bernardino County,"31,550",,,,,,,
93940,"31,513",Monterey,Monterey County,"31,513",,,,,,,
92881,"31,401",Corona,Riverside County,"31,401",,,,,,,
95131,"31,335",San Jose,Santa Clara County,"31,335",,,,,,,
94070,"31,312",San Carlos,San Mateo County,"31,312",,,,,,,
95829,"31,297",Sacramento,Sacramento County,"31,297",,,,,,,
95358,"31,268",Modesto,Stanislaus County,"31,268",,,,,,,
95632,"31,217",Galt,Sacramento County,"31,217",,,,,,,
91792,"31,208",West Covina,Los Angeles County,"31,208",,,,,,,
96080,"31,190",Red Bluff,Tehama County,"31,190",,,,,,,
93004,"31,151",Ventura,Ventura County,"31,151",,,,,,,
92124,"31,121",San Diego,San Diego County,"31,121",,,,,,,
94602,"31,104",Oakland,Alameda County,"31,104",,,,,,,
90680,"31,102",Stanton,Orange County,"31,102",,,,,,,
93561,"31,060",Tehachapi,Kern County,"31,060",,,,,,,
92260,"31,039",Palm Desert,Riverside County,"31,039",,,,,,,
90028,"30,982",Los Angeles,Los Angeles County,"30,982",,,,,,,
92679,"30,971",Trabuco Canyon,Orange County,"30,971",,,,,,,
95134,"30,916",San Jose,Santa Clara County,"30,916",,,,,,,
92110,"30,773",San Diego,San Diego County,"30,773",,,,,,,
91607,"30,734",Valley Village,Los Angeles County,"30,734",,,,,,,
90601,"30,667",Whittier,Los Angeles County,"30,667",,,,,,,
92316,"30,656",Bloomington,San Bernardino County,"30,656",,,,,,,
92673,"30,633",San Clemente,Orange County,"30,633",,,,,,,
91303,"30,611",Canoga Park,Los Angeles County,"30,611",,,,,,,
91356,"30,599",Tarzana,Los Angeles County,"30,599",,,,,,,
95824,"30,556",Sacramento,Sacramento County,"30,556",,,,,,,
93654,"30,476",Reedley,Fresno County,"30,476",,,,,,,
95204,"30,406",Stockton,San Joaquin County,"30,406",,,,,,,
94107,"30,340",San Francisco,San Francisco County,"30,340",,,,,,,
91355,"30,289",Valencia,Los Angeles County,"30,289",,,,,,,
92120,"30,241",San Diego,San Diego County,"30,241",,,,,,,
93662,"30,191",Selma,Fresno County,"30,191",,,,,,,
95219,"30,165",Stockton,San Joaquin County,"30,165",,,,,,,
95966,"30,108",Oroville,Butte County,"30,108",,,,,,,
95330,"30,051",Lathrop,San Joaquin County,"30,051",,,,,,,
94589,"29,959",Vallejo,Solano County,"29,959",,,,,,,
92653,"29,923",Laguna Hills,Orange County,"29,923",,,,,,,
93101,"29,870",Santa Barbara,Santa Barbara County,"29,870",,,,,,,
92782,"29,838",Tustin,Orange County,"29,838",,,,,,,
95363,"29,784",Patterson,Stanislaus County,"29,784",,,,,,,
95682,"29,750",Shingle Springs,El Dorado County,"29,750",,,,,,,
91324,"29,744",Northridge,Los Angeles County,"29,744",,,,,,,
92614,"29,544",Irvine,Orange County,"29,544",,,,,,,
93704,"29,502",Fresno,Fresno County,"29,502",,,,,,,
93901,"29,498",Salinas,Monterey County,"29,498",,,,,,,
92081,"29,475",Vista,San Diego County,"29,475",,,,,,,
96150,"29,457",South Lake Tahoe,El Dorado County,"29,457",,,,,,,
92107,"29,435",San Diego,San Diego County,"29,435",,,,,,,
91746,"29,429",La Puente,Los Angeles County,"29,429",,,,,,,
94585,"29,401",Suisun City,Solano County,"29,401",,,,,,,
94580,"29,377",San Lorenzo,Alameda County,"29,377",,,,,,,
90302,"29,307",Inglewood,Los Angeles County,"29,307",,,,,,,
92604,"29,080",Irvine,Orange County,"29,080",,,,,,,
91803,"29,006",Alhambra,Los Angeles County,"29,006",,,,,,,
93401,"28,773",San Luis Obispo,San Luis Obispo County,"28,773",,,,,,,
91364,"28,765",Woodland Hills,Los Angeles County,"28,765",,,,,,,
90017,"28,754",Los Angeles,Los Angeles County,"28,754",,,,,,,
95133,"28,749",San Jose,Santa Clara County,"28,749",,,,,,,
94131,"28,705",San Francisco,San Francisco County,"28,705",,,,,,,
95117,"28,663",San Jose,Santa Clara County,"28,663",,,,,,,
90061,"28,646",Los Angeles,Los Angeles County,"28,646",,,,,,,
92173,"28,609",San Ysidro,San Diego County,"28,609",,,,,,,
95677,"28,591",Rocklin,Placer County,"28,591",,,,,,,
91724,"28,575",Covina,Los Angeles County,"28,575",,,,,,,
95370,"28,548",Sonora,Tuolumne County,"28,548",,,,,,,
91316,"28,497",Encino,Los Angeles County,"28,497",,,,,,,
94549,"28,456",Lafayette,Contra Costa County,"28,456",,,,,,,
95472,"28,443",Sebastopol,Sonoma County,"28,443",,,,,,,
90713,"28,439",Lakewood,Los Angeles County,"28,439",,,,,,,
95603,"28,366",Auburn,Placer County,"28,366",,,,,,,
90041,"28,321",Los Angeles,Los Angeles County,"28,321",,,,,,,
94518,"28,287",Concord,Contra Costa County,"28,287",,,,,,,
90039,"28,244",Los Angeles,Los Angeles County,"28,244",,,,,,,
94559,"28,224",Napa,Napa County,"28,224",,,,,,,
91731,"28,201",El Monte,Los Angeles County,"28,201",,,,,,,
95492,"28,096",Windsor,Sonoma County,"28,096",,,,,,,
90038,"27,979",Los Angeles,Los Angeles County,"27,979",,,,,,,
94002,"27,893",Belmont,San Mateo County,"27,893",,,,,,,
95212,"27,848",Stockton,San Joaquin County,"27,848",,,,,,,
94306,"27,785",Palo Alto,Santa Clara County,"27,785",,,,,,,
95032,"27,678",Los Gatos,Santa Clara County,"27,678",,,,,,,
91384,"27,652",Castaic,Los Angeles County,"27,652",,,,,,,
90746,"27,643",Carson,Los Angeles County,"27,643",,,,,,,
94132,"27,641",San Francisco,San Francisco County,"27,641",,,,,,,
91945,"27,541",Lemon Grove,San Diego County,"27,541",,,,,,,
92227,"27,540",Brawley,Imperial County,"27,540",,,,,,,
90710,"27,517",Harbor City,Los Angeles County,"27,517",,,,,,,
91504,"27,479",Burbank,Los Angeles County,"27,479",,,,,,,
92532,"27,454",Lake Elsinore,Riverside County,"27,454",,,,,,,
95242,"27,433",Lodi,San Joaquin County,"27,433",,,,,,,
95945,"27,388",Grass Valley,Nevada County,"27,388",,,,,,,
92008,"27,373",Carlsbad,San Diego County,"27,373",,,,,,,
92277,"27,370",Twentynine Palms,San Bernardino County,"27,370",,,,,,,
93280,"27,356",Wasco,Kern County,"27,356",,,,,,,
92868,"27,280",Orange,Orange County,"27,280",,,,,,,
94510,"27,223",Benicia,Solano County,"27,223",,,,,,,
93933,"27,197",Marina,Monterey County,"27,197",,,,,,,
94803,"27,171",El Sobrante,Contra Costa County,"27,171",,,,,,,
91103,"27,167",Pasadena,Los Angeles County,"27,167",,,,,,,
91740,"27,131",Glendora,Los Angeles County,"27,131",,,,,,,
91042,"27,119",Tujunga,Los Angeles County,"27,119",,,,,,,
92585,"27,083",Menifee,Riverside County,"27,083",,,,,,,
92251,"27,050",Imperial,Imperial County,"27,050",,,,,,,
94607,"27,019",Oakland,Alameda County,"27,019",,,,,,,
94619,"27,018",Oakland,Alameda County,"27,018",,,,,,,
90405,"26,981",Santa Monica,Los Angeles County,"26,981",,,,,,,
94506,"26,947",Danville,Contra Costa County,"26,947",,,,,,,
95618,"26,946",Davis,Yolo County,"26,946",,,,,,,
92411,"26,915",San Bernardino,San Bernardino County,"26,915",,,,,,,
91010,"26,825",Duarte,Los Angeles County,"26,825",,,,,,,
92211,"26,741",Palm Desert,Riverside County,"26,741",,,,,,,
92835,"26,687",Fullerton,Orange County,"26,687",,,,,,,
92602,"26,663",Irvine,Orange County,"26,663",,,,,,,
90035,"26,595",Los Angeles,Los Angeles County,"26,595",,,,,,,
91030,"26,583",South Pasadena,Los Angeles County,"26,583",,,,,,,
93725,"26,568",Fresno,Fresno County,"26,568",,,,,,,
94062,"26,531",Redwood City,San Mateo County,"26,531",,,,,,,
95815,"26,523",Sacramento,Sacramento County,"26,523",,,,,,,
94530,"26,483",El Cerrito,Contra Costa County,"26,483",,,,,,,
93105,"26,482",Santa Barbara,Santa Barbara County,"26,482",,,,,,,
91755,"26,418",Monterey Park,Los Angeles County,"26,418",,,,,,,
95776,"26,352",Woodland,Yolo County,"26,352",,,,,,,
94598,"26,346",Walnut Creek,Contra Costa County,"26,346",,,,,,,
91302,"26,318",Calabasas,Los Angeles County,"26,318",,,,,,,
93035,"26,286",Oxnard,Ventura County,"26,286",,,,,,,
95409,"26,158",Santa Rosa,Sonoma County,"26,158",,,,,,,
91932,"26,157",Imperial Beach,San Diego County,"26,157",,,,,,,
94402,"26,150",San Mateo,San Mateo County,"26,150",,,,,,,
92629,"26,144",Dana Point,Orange County,"26,144",,,,,,,
91784,"26,116",Upland,San Bernardino County,"26,116",,,,,,,
91741,"26,052",Glendora,Los Angeles County,"26,052",,,,,,,
94547,"26,041",Hercules,Contra Costa County,"26,041",,,,,,,
92832,"26,040",Fullerton,Orange County,"26,040",,,,,,,
93960,"26,037",Soledad,Monterey County,"26,037",,,,,,,
90240,"26,026",Downey,Los Angeles County,"26,026",,,,,,,
90064,"25,956",Los Angeles,Los Angeles County,"25,956",,,,,,,
90602,"25,949",Whittier,Los Angeles County,"25,949",,,,,,,
90249,"25,929",Gardena,Los Angeles County,"25,929",,,,,,,
91403,"25,887",Sherman Oaks,Los Angeles County,"25,887",,,,,,,
92262,"25,856",Palm Springs,Riverside County,"25,856",,,,,,,
92284,"25,741",Yucca Valley,San Bernardino County,"25,741",,,,,,,
95864,"25,728",Sacramento,Sacramento County,"25,728",,,,,,,
90304,"25,725",Inglewood,Los Angeles County,"25,725",,,,,,,
94704,"25,711",Berkeley,Alameda County,"25,711",,,,,,,
90291,"25,656",Venice,Los Angeles County,"25,656",,,,,,,
95215,"25,647",Stockton,San Joaquin County,"25,647",,,,,,,
90015,"25,554",Los Angeles,Los Angeles County,"25,554",,,,,,,
94133,"25,460",San Francisco,San Francisco County,"25,460",,,,,,,
91307,"25,368",West Hills,Los Angeles County,"25,368",,,,,,,
92860,"25,367",Norco,Riverside County,"25,367",,,,,,,
91301,"25,244",Agoura Hills,Los Angeles County,"25,244",,,,,,,
94947,"25,183",Novato,Marin County,"25,183",,,,,,,
94609,"25,175",Oakland,Alameda County,"25,175",,,,,,,
95367,"25,162",Riverbank,Stanislaus County,"25,162",,,,,,,
93907,"25,124",Salinas,Monterey County,"25,124",,,,,,,
95354,"25,100",Modesto,Stanislaus County,"25,100",,,,,,,
93405,"24,991",San Luis Obispo,San Luis Obispo County,"24,991",,,,,,,
95003,"24,977",Aptos,Santa Cruz County,"24,977",,,,,,,
90270,"24,950",Maywood,Los Angeles County,"24,950",,,,,,,
90274,"24,942",Palos Verdes Peninsula,Los Angeles County,"24,942",,,,,,,
96007,"24,849",Anderson,Shasta County,"24,849",,,,,,,
94123,"24,721",San Francisco,San Francisco County,"24,721",,,,,,,
90740,"24,604",Seal Beach,Orange County,"24,604",,,,,,,
90292,"24,481",Marina Del Rey,Los Angeles County,"24,481",,,,,,,
92011,"24,472",Carlsbad,San Diego County,"24,472",,,,,,,
95054,"24,444",Santa Clara,Santa Clara County,"24,444",,,,,,,
92606,"24,431",Irvine,Orange County,"24,431",,,,,,,
92119,"24,419",San Diego,San Diego County,"24,419",,,,,,,
92108,"24,201",San Diego,San Diego County,"24,201",,,,,,,
91775,"24,169",San Gabriel,Los Angeles County,"24,169",,,,,,,
90403,"24,092",Santa Monica,Los Angeles County,"24,092",,,,,,,
95503,"24,072",Eureka,Humboldt County,"24,072",,,,,,,
94024,"24,041",Los Altos,Santa Clara County,"24,041",,,,,,,
92651,"23,981",Laguna Beach,Orange County,"23,981",,,,,,,
90404,"23,975",Santa Monica,Los Angeles County,"23,975",,,,,,,
91106,"23,813",Pasadena,Los Angeles County,"23,813",,,,,,,
93610,"23,795",Chowchilla,Madera County,"23,795",,,,,,,
94596,"23,795",Walnut Creek,Contra Costa County,"23,795",,,,,,,
95405,"23,748",Santa Rosa,Sonoma County,"23,748",,,,,,,
95501,"23,706",Eureka,Humboldt County,"23,706",,,,,,,
95391,"23,696",Tracy,Alameda County,"23,696",,,,,,,
91411,"23,689",Van Nuys,Los Angeles County,"23,689",,,,,,,
90720,"23,673",Los Alamitos,Orange County,"23,673",,,,,,,
94597,"23,654",Walnut Creek,Contra Costa County,"23,654",,,,,,,
94089,"23,447",Sunnyvale,Santa Clara County,"23,447",,,,,,,
93212,"23,391",Corcoran,Kings County,"23,391",,,,,,,
90303,"23,370",Inglewood,Los Angeles County,"23,370",,,,,,,
91737,"23,108",Rancho Cucamonga,San Bernardino County,"23,108",,,,,,,
93041,"23,108",Port Hueneme,Ventura County,"23,108",,,,,,,
95818,"23,062",Sacramento,Sacramento County,"23,062",,,,,,,
92354,"23,054",Loma Linda,San Bernardino County,"23,054",,,,,,,
95531,"23,029",Crescent City,Del Norte County,"23,029",,,,,,,
94085,"22,996",Sunnyvale,Santa Clara County,"22,996",,,,,,,
93263,"22,952",Shafter,Kern County,"22,952",,,,,,,
91202,"22,831",Glendale,Los Angeles County,"22,831",,,,,,,
94030,"22,825",Millbrae,San Mateo County,"22,825",,,,,,,
95746,"22,743",Granite Bay,Placer County,"22,743",,,,,,,
92844,"22,622",Garden Grove,Orange County,"22,622",,,,,,,
91201,"22,163",Glendale,Los Angeles County,"22,163",,,,,,,
92501,"22,136",Riverside,Riverside County,"22,136",,,,,,,
93444,"22,079",Nipomo,San Luis Obispo County,"22,079",,,,,,,
90732,"22,078",San Pedro,Los Angeles County,"22,078",,,,,,,
95620,"22,004",Dixon,Solano County,"22,004",,,,,,,
92582,"21,961",San Jacinto,Riverside County,"21,961",,,,,,,
92663,"21,886",Newport Beach,Orange County,"21,886",,,,,,,
94503,"21,791",American Canyon,Napa County,"21,791",,,,,,,
90717,"21,788",Lomita,Los Angeles County,"21,788",,,,,,,
95521,"21,712",Arcata,Humboldt County,"21,712",,,,,,,
95841,"21,542",Sacramento,Sacramento County,"21,542",,,,,,,
96130,"21,460",Susanville,Lassen County,"21,460",,,,,,,
95135,"21,402",San Jose,Santa Clara County,"21,402",,,,,,,
93560,"21,300",Rosamond,Kern County,"21,300",,,,,,,
90272,"21,298",Pacific Palisades,Los Angeles County,"21,298",,,,,,,
93023,"21,279",Ojai,Ventura County,"21,279",,,,,,,
92371,"21,265",Phelan,San Bernardino County,"21,265",,,,,,,
95949,"21,232",Grass Valley,Nevada County,"21,232",,,,,,,
92225,"21,189",Blythe,Riverside County,"21,189",,,,,,,
94127,"21,184",San Francisco,San Francisco County,"21,184",,,,,,,
92865,"21,140",Orange,Orange County,"21,140",,,,,,,
95827,"21,084",Sacramento,Sacramento County,"21,084",,,,,,,
92808,"21,080",Anaheim,Orange County,"21,080",,,,,,,
90068,"21,064",Los Angeles,Los Angeles County,"21,064",,,,,,,
90715,"20,949",Lakewood,Los Angeles County,"20,949",,,,,,,
92377,"20,935",Rialto,San Bernardino County,"20,935",,,,,,,
91040,"20,911",Sunland,Los Angeles County,"20,911",,,,,,,
90603,"20,883",Whittier,Los Angeles County,"20,883",,,,,,,
91381,"20,864",Stevenson Ranch,Los Angeles County,"20,864",,,,,,,
94706,"20,860",Albany,Alameda County,"20,860",,,,,,,
95965,"20,835",Oroville,Butte County,"20,835",,,,,,,
93203,"20,781",Arvin,Kern County,"20,781",,,,,,,
90814,"20,723",Long Beach,Los Angeles County,"20,723",,,,,,,
92082,"20,678",Valley Center,San Diego County,"20,678",,,,,,,
92106,"20,483",San Diego,San Diego County,"20,483",,,,,,,
92344,"20,448",Hesperia,San Bernardino County,"20,448",,,,,,,
92617,"20,432",Irvine,Orange County,"20,432",,,,,,,
90048,"20,411",Los Angeles,Los Angeles County,"20,411",,,,,,,
94703,"20,404",Berkeley,Alameda County,"20,404",,,,,,,
91011,"20,389",La Canada Flintridge,Los Angeles County,"20,389",,,,,,,
92887,"20,353",Yorba Linda,Orange County,"20,353",,,,,,,
95110,"20,314",San Jose,Santa Clara County,"20,314",,,,,,,
93630,"20,272",Kerman,Fresno County,"20,272",,,,,,,
94579,"20,272",San Leandro,Alameda County,"20,272",,,,,,,
92264,"20,229",Palm Springs,Riverside County,"20,229",,,,,,,
94519,"20,162",Concord,Contra Costa County,"20,162",,,,,,,
92586,"20,152",Menifee,Riverside County,"20,152",,,,,,,
94022,"20,052",Los Altos,Santa Clara County,"20,052",,,,,,,
90069,"20,045",West Hollywood,Los Angeles County,"20,045",,,,,,,
92029,"19,986",Escondido,San Diego County,"19,986",,,,,,,
93927,"19,983",Greenfield,Monterey County,"19,983",,,,,,,
91602,"19,980",North Hollywood,Los Angeles County,"19,980",,,,,,,
95819,"19,806",Sacramento,Sacramento County,"19,806",,,,,,,
91101,"19,737",Pasadena,Los Angeles County,"19,737",,,,,,,
93103,"19,653",Santa Barbara,Santa Barbara County,"19,653",,,,,,,
91506,"19,559",Burbank,Los Angeles County,"19,559",,,,,,,
90254,"19,551",Hermosa Beach,Los Angeles County,"19,551",,,,,,,
95138,"19,420",San Jose,Santa Clara County,"19,420",,,,,,,
94563,"19,416",Orinda,Contra Costa County,"19,416",,,,,,,
92603,"19,329",Irvine,Orange County,"19,329",,,,,,,
90210,"19,180",Beverly Hills,Los Angeles County,"19,180",,,,,,,
96161,"19,146",Truckee,Nevada County,"19,146",,,,,,,
91501,"18,951",Burbank,Los Angeles County,"18,951",,,,,,,
94564,"18,946",Pinole,Contra Costa County,"18,946",,,,,,,
93210,"18,937",Coalinga,Fresno County,"18,937",,,,,,,
91390,"18,930",Santa Clarita,Los Angeles County,"18,930",,,,,,,
92587,"18,926",Menifee,Riverside County,"18,926",,,,,,,
95519,"18,781",Mckinleyville,Humboldt County,"18,781",,,,,,,
91361,"18,753",Westlake Village,Ventura County,"18,753",,,,,,,
93015,"18,716",Fillmore,Ventura County,"18,716",,,,,,,
91901,"18,669",Alpine,San Diego County,"18,669",,,,,,,
95602,"18,610",Auburn,Placer County,"18,610",,,,,,,
94949,"18,545",Novato,Marin County,"18,545",,,,,,,
95366,"18,500",Ripon,San Joaquin County,"18,500",,,,,,,
91345,"18,481",Mission Hills,Los Angeles County,"18,481",,,,,,,
91204,"18,445",Glendale,Los Angeles County,"18,445",,,,,,,
90502,"18,430",Torrance,Los Angeles County,"18,430",,,,,,,
95816,"18,334",Sacramento,Sacramento County,"18,334",,,,,,,
95959,"18,244",Nevada City,Nevada County,"18,244",,,,,,,
93111,"18,165",Santa Barbara,Santa Barbara County,"18,165",,,,,,,
91723,"17,964",Covina,Los Angeles County,"17,964",,,,,,,
93728,"17,892",Fresno,Fresno County,"17,892",,,,,,,
93247,"17,827",Lindsay,Tulare County,"17,827",,,,,,,
94612,"17,742",Oakland,Alameda County,"17,742",,,,,,,
92118,"17,602",Coronado,San Diego County,"17,602",,,,,,,
90670,"17,556",Santa Fe Springs,Los Angeles County,"17,556",,,,,,,
94702,"17,473",Berkeley,Alameda County,"17,473",,,,,,,
92637,"17,452",Laguna Woods,Orange County,"17,452",,,,,,,
91914,"17,373",Chula Vista,San Diego County,"17,373",,,,,,,
94595,"17,341",Walnut Creek,Contra Costa County,"17,341",,,,,,,
94945,"17,309",Novato,Marin County,"17,309",,,,,,,
95334,"17,302",Livingston,Merced County,"17,302",,,,,,,
94618,"17,285",Oakland,Alameda County,"17,285",,,,,,,
94305,"17,279",Stanford,Santa Clara County,"17,279",,,,,,,
94301,"17,259",Palo Alto,Santa Clara County,"17,259",,,,,,,
92270,"17,257",Rancho Mirage,Riverside County,"17,257",,,,,,,
93268,"17,124",Taft,Kern County,"17,124",,,,,,,
91902,"17,121",Bonita,San Diego County,"17,121",,,,,,,
90245,"17,081",El Segundo,Los Angeles County,"17,081",,,,,,,
95422,"16,998",Clearlake,Lake County,"16,998",,,,,,,
93930,"16,807",King City,Monterey County,"16,807",,,,,,,
95448,"16,745",Healdsburg,Sonoma County,"16,745",,,,,,,
91203,"16,679",Glendale,Los Angeles County,"16,679",,,,,,,
95673,"16,665",Rio Linda,Sacramento County,"16,665",,,,,,,
90265,"16,652",Malibu,Los Angeles County,"16,652",,,,,,,
